scenario_id,scenario_type,load_multiplier,renewable_cf_wind,renewable_cf_solar,temperature_c,converged,total_generation_mw,total_load_mw,max_voltage_pu,min_voltage_pu,violations
STRESS_001,normal,0.5183720532164016,0.19987643682139272,0.0,23.934565972206073,True,153.97374724844835,146.64166404614127,1.7240092812538501,1.0,50
STRESS_002,normal,0.73079093153203,0.21960558478792844,0.0,23.886078144496256,True,211.20425049734084,201.14690523556268,1.7225324622290146,1.0,50
STRESS_003,normal,0.62477790049218,0.3166399443058558,0.0,4.295562422137109,True,226.27523058096463,215.5002196009187,1.7230918703760931,1.0,50
STRESS_004,stress,1.1255094169262858,0.39925830058665246,0.0,39.71813256516492,True,332.0017066489591,316.1921015704372,1.7484449813956886,1.0184053084788711,65
STRESS_005,stress,1.235855968518966,0.2745587507130147,0.0,3.7360262165927,True,390.96980981142076,372.3521998204006,1.7453992572794335,1.014580429081403,50
STRESS_006,stress,1.2210042776978056,0.16528474949946,0.31391122899239354,21.12269296540032,True,311.89623890170856,297.0440370492463,1.7489338197513085,1.0192648375411444,69
STRESS_007,stress,1.2489519758486385,0.09586774613589301,0.40298401607377177,20.839113059133354,True,365.6242994562318,348.21361852974456,1.7465775803571282,1.0160101874286465,50
STRESS_008,challenge,1.3174207690002246,0.03212875847809311,0.14041432077204063,5.264596916917727,True,329.93335775074394,314.222245476899,1.7660293960341,1.0307372187783495,82
STRESS_009,challenge,1.3508871832883316,0.043890469270831844,0.0,11.427667826561747,True,326.17003117776704,310.6381249312067,1.7807585002052304,1.041071052925412,90
STRESS_010,challenge,1.2339828515357105,0.036482024506425716,0.09622762473810104,36.837249671940064,True,285.3505664075207,271.7624441976388,1.7728378074768945,1.036699073280266,86
