scenario_id,scenario_type,load_multiplier,renewable_cf_wind,renewable_cf_solar,temperature_c,converged,total_generation_mw,total_load_mw,max_voltage_pu,min_voltage_pu,violations
SCEN_001,normal,1.2712892511464957,0.29850462006467804,0.3220466398872519,9.55332757827122,True,264.970943454599,368.7160667731585,1.307373297505142,1.0,90
SCEN_002,stress,1.1441060577270004,0.30235339373763087,0.0,19.92380782032029,True,264.970943454599,293.756987126739,1.3225883962566138,1.0101471645098237,92
SCEN_003,normal,1.046516703001459,0.4514657328655887,1.0827985119117916e-16,26.47814425024764,True,264.970943454599,320.9546908478757,1.308536792205339,1.0,90
SCEN_004,normal,0.9990717791819057,0.07241036777913136,0.15362717790308233,6.118738536326838,True,264.970943454599,300.24849342989637,1.3090207558942355,1.0,90
SCEN_005,normal,0.722925598235696,0.09642133789768022,0.0,-0.29303923284595834,True,255.20467393976668,243.05207041882537,1.3103192701223991,1.0,90
SCEN_006,normal,0.9371853720678206,0.10722899084534235,0.8286366207765266,22.381142927437544,True,264.970943454599,267.8142780794326,1.3098277911788403,1.0,90
SCEN_007,normal,1.3281896970743787,0.18682365291986722,0.40308206363295623,10.56819266094331,True,264.970943454599,416.73653120190477,1.3062554298567393,1.0,90
SCEN_008,normal,0.5850748623769969,0.15590134302163766,0.0,17.78864778667768,True,191.42000024346237,182.30476213663084,1.311421065201751,1.0,90
SCEN_009,stress,1.1889253217284286,0.3002694890207624,0.14333344280545118,27.65833344908908,True,264.970943454599,330.114475123526,1.3228665587325934,1.0109924043568344,92
SCEN_010,normal,0.8460599043878853,0.10836047199492162,0.30483266923697655,17.463691523472995,True,260.3335731525901,247.93673633580005,1.3101867853505402,1.0,90
